architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,ac_facing_sources,short_circuit_strength_GVA,trials,p50_thdv_pct,p95_thdv_pct,p99_thdv_pct,mean_thdv_pct,max_individual_p95_pct,dominant_harmonic,exceeds_5pct_guide_p95
Local SST,1,0.25,69,20,coherent,20,1,5.0,600,0.748921967480819,1.1715766195738717,1.3387217658032495,0.7768787416949369,0.9124344830596124,11,False
Subtransmission DC backbone,1,0.25,69,20,coherent,20,1,5.0,600,0.2433333441099022,0.3689770060990387,0.4558980687877278,0.254190738173535,0.2847405773472679,11,False
Traditional AC,1,0.25,69,20,coherent,50,1,5.0,600,2.2384948575885666,3.5224913492900147,4.2426715847417045,2.3427157408145693,2.665165260586375,11,False
Local SST,1,0.25,69,20,coherent,50,1,5.0,600,0.8444906179382259,1.3309667660146494,1.6176967969710754,0.8851673535023046,1.0146756559633383,11,False
Subtransmission DC backbone,1,0.25,69,20,coherent,50,1,5.0,600,0.2507168658490513,0.38790141142291756,0.441792959785007,0.2599766897035188,0.302146696655434,11,False
Traditional AC,1,0.25,69,20,coherent,100,1,5.0,600,2.589527002330639,4.031313066624963,4.893039228524253,2.6761121595354704,3.0958222847452554,11,False
Local SST,1,0.25,69,20,coherent,100,1,5.0,600,0.9348216261203554,1.5182912222400864,1.7879041562487494,0.9834362070144552,1.1798074049748029,11,False
Subtransmission DC backbone,1,0.25,69,20,coherent,100,1,5.0,600,0.2586717983869723,0.42101537803580397,0.47406275190591896,0.2708798104522479,0.3271599572901854,11,False
Traditional AC,1,0.25,138,3,random,5,1,0.75,600,11.897193949498035,19.712496022014605,23.08550670451724,12.604673894764586,14.81991400108237,11,True
Local SST,1,0.25,138,3,random,5,1,0.75,600,4.4454058969767685,7.051035241852069,8.206424669223527,4.710244084569108,5.530667164018739,11,True
Subtransmission DC backbone,1,0.25,138,3,random,5,1,0.75,600,1.5383146503401748,2.6573249671201467,3.145159967068421,1.6524543248259878,2.106110063577974,11,False
Traditional AC,1,0.25,138,3,random,20,1,0.75,600,13.565415552812095,21.248271133904172,23.169683185255767,13.952006902235759,16.08552888985445,11,True
Local SST,1,0.25,138,3,random,20,1,0.75,600,4.995404779297578,7.9918506777144085,9.106984695712416,5.248489176484918,6.257845725132233,11,True
Subtransmission DC backbone,1,0.25,138,3,random,20,1,0.75,600,1.620450363153845,2.5480318841534406,2.998660079975671,1.694154153764409,2.063689391477221,11,False
