useful_mw,ac_corridor_mw,ac_receiving_q_mvar,receiving_voltage_pu,receiving_angle_deg,line_current_kA,source_q_mvar,line_reactive_burden_mvar,converged,voltage_ok,thermal_ok,source_q_ok,binding_constraint,receiving_voltage_real_pu,receiving_voltage_imag_pu
735.0,755.2699345021692,153.36410131714257,0.9720708547809374,-4.585142985255824,3.316946642057502,219.3769114698774,66.01281015273483,True,True,True,True,none,0.9689598789097226,-0.07770778453795998
740.0,760.4078252130683,154.4073945233816,0.9718517932650601,-4.617444699676773,3.340263651722154,221.3515620966644,66.94416757328278,True,True,True,True,none,0.9686975649765066,-0.07823640892257196
745.0,765.5457159239675,155.45068772962068,0.9716322997885455,-4.649764522954245,3.3635926707173054,223.3332216518149,67.88253392219423,True,True,True,True,none,0.9684345076051845,-0.07876503330718392
750.0,770.6836066348666,156.49398093585975,0.9714123734135568,-4.682102526784145,3.3869337415747953,225.32190194993217,68.82792101407242,True,True,True,True,none,0.9681707055425793,-0.0792936576917959
755.0,775.8214973457657,157.53727414209882,0.9711920131975469,-4.7144587831569975,3.410286907003853,227.31761486574447,69.78034072364565,True,True,True,True,none,0.967906157529137,-0.07982228207640786
760.0,780.9593880566648,158.58056734833787,0.9709712181932278,-4.746833364359944,3.4336522098922897,229.32037233447107,70.73980498613321,True,True,True,True,none,0.9676408622988869,-0.08035090646101983
765.0,786.0972787675639,159.62386055457694,0.9707499874485426,-4.779226342978744,3.4570296933076747,231.3301863521764,71.70632579759948,True,True,True,True,none,0.9673748185794047,-0.08087953084563183
770.0,791.235169478463,160.66715376081603,0.9705283200066348,-4.811637791899799,3.480419400498535,233.34706897613833,72.6799152153223,True,True,True,True,none,0.967108025091773,-0.0814081552302438
775.0,796.3730601893621,161.71044696705508,0.9703062149058189,-4.844067784312198,3.5038213748955656,235.3710323252175,73.66058535816242,True,True,True,True,none,0.9668404805505424,-0.08193677961485576
780.0,801.5109509002613,162.75374017329415,0.9700836711795504,-4.876516393709775,3.5272356601128485,237.40208858022598,74.64834840693183,True,True,True,True,none,0.9665721836636924,-0.08246540399946774
785.0,806.6488416111604,163.7970333795332,0.9698606878563951,-4.908983693893172,3.5506622999490696,239.44024998430186,75.64321660476867,True,True,True,True,none,0.9663031331325913,-0.08299402838407971
790.0,811.7867323220595,164.84032658577226,0.9696372639599988,-4.941469758971943,3.574101338388764,241.48552884328612,76.64520225751386,True,True,True,True,none,0.9660333276519568,-0.08352265276869167
795.0,816.9246230329586,165.88361979201136,0.9694133985090558,-4.973974663366658,3.5975528196035653,243.53793752610562,77.65431773409426,True,True,True,True,none,0.9657627659098149,-0.08405127715330366
800.0,822.0625137438577,166.9269129982504,0.9691890905172784,-5.006498481811022,3.6210167879534563,245.5974884651532,78.67057546690279,True,True,True,True,none,0.9654914465874598,-0.08457990153791564
805.0,827.2004044547568,167.97020620448947,0.9689643389933651,-5.039041289354027,3.644493287988037,247.66419415667593,79.69398795218646,True,True,True,True,none,0.9652193683594126,-0.0851085259225276
810.0,832.338295165656,169.01349941072854,0.9687391429409691,-5.071603161362112,3.667982364447809,249.73806716116536,80.72456775043682,True,True,True,True,none,0.96494652989338,-0.08563715030713956
815.0,837.476185876555,170.05679261696758,0.9685135013586661,-5.104184173521336,3.6914840622654643,251.8191201037525,81.76232748678493,True,True,True,True,none,0.9646729298502126,-0.08616577469175152
820.0,842.6140765874541,171.10008582320663,0.9682874132399223,-5.136784401839585,3.7149984265671776,253.90736567459987,82.80727985139325,True,True,True,True,none,0.9643985668838627,-0.08669439907636352
825.0,847.7519672983532,172.1433790294457,0.9680608775730616,-5.169403922648772,3.7385255026739252,256.00281662930803,83.85943759986233,True,True,True,True,none,0.964123439641342,-0.08722302346097549
830.0,852.8898580092523,173.1866722356848,0.9678338933412334,-5.202042812607085,3.7620653361027987,258.10548578931304,84.91881355362824,True,True,True,True,none,0.9638475467626786,-0.08775164784558745
835.0,858.0277487201514,174.22996544192384,0.9676064595223786,-5.234701148701238,3.785617972568348,260.21538604229784,85.985420600374,True,True,True,True,none,0.9635708868808741,-0.08828027223019942
840.0,863.1656394310505,175.2732586481629,0.967378575089197,-5.267379008248735,3.8091834579839157,262.33253034260076,87.05927169443785,True,True,True,True,none,0.9632934586218599,-0.0888088966148114
845.0,868.3035301419496,176.31655185440198,0.9671502390091136,-5.300076468900167,3.8327618384629982,264.45693171162844,88.14037985722646,True,True,True,True,none,0.9630152606044533,-0.08933752099942337
850.0,873.4414208528488,177.35984506064105,0.9669214502442444,-5.332793608641518,3.8563531603206043,266.5886032382739,89.22875817763284,True,True,True,True,none,0.9627362914403135,-0.08986614538403534
855.0,878.5793115637479,178.40313826688012,0.966692207751362,-5.3655305057964995,3.8799574700746486,268.72755807934135,90.32441981246123,True,True,True,True,none,0.9624565497338962,-0.09039476976864733
860.0,883.717202274647,179.44643147311916,0.9664625104818617,-5.3982872390288925,3.903574814447322,270.87380945996483,91.42737798684567,True,True,True,True,none,0.9621760340824094,-0.0909233941532593
