time_s,AI_load_MW,grid_traditional_MW,grid_ac_filter_storage_MW,grid_local_sst_MW,grid_local_sst_coord_MW,grid_dc_backbone_MW,dc_buffer_power_MW,dc_buffer_energy_MWh,pcc_v_ac_pct,pcc_v_local_sst_pct,pcc_v_dc_pct,v800_ac_pct,v800_local_sst_pct,v800_dc_pct
184.34,1066.0851253658664,1066.0851253658664,990.898317407401,1060.6439871810492,1000.9797558084716,985.642930071242,80.44219529462441,-0.3181047260086482,0.6608512536586636,0.6056871776018693,-0.16660448142519613,3.6346818951226503,0.6042547821474737,0.28844788489345846
184.36,1066.2712438149576,1066.2712438149576,991.1130550894738,1060.7444739066548,1001.2398812586966,985.7435896389619,80.52765417599574,-0.31765735015211494,0.6627124381495765,0.6066920448579254,-0.16559788574799655,3.6449184098226706,0.6069425738690034,0.28899103955438366
184.38,1066.4631358693123,1066.4631358693123,991.3277276842882,1060.8465928702738,1001.499734862723,985.8443631049174,80.61877276439486,-0.3172094680812016,0.6646313586931228,0.6077132344941151,-0.1645901510884414,3.6554724728121752,0.6097345335741396,0.2895570608398912
184.4,1066.660427775871,1066.660427775871,991.5423507614722,1060.9504113507307,1001.7593392169587,985.9452570683019,80.7151707075692,-0.31676105046615954,0.6666042777587109,0.6087514192986851,-0.16358121145459678,3.666323527672909,0.6126214967920355,0.29014444053935745
184.42000000000002,1066.8627356308255,1066.8627356308255,991.756938752553,1061.0559885700181,1002.0187152982888,986.0462776407894,80.81645799003604,-0.3163120701439927,0.6686273563082545,0.609807191491559,-0.1625710057297215,3.6774504596954,0.615594188531008,0.29075163081419986
184.44,1067.069666028705,1067.069666028705,991.9715049271289,1061.1633756674946,1002.277882432673,986.1474304352812,80.9222355934237,-0.31586250216847367,0.6706966602870489,0.6108810624663238,-0.16155947778480367,3.6888316315787693,0.6186432379196849,0.2913770468167341
184.46,1067.280816724877,1067.280816724877,992.1860613709971,1061.2726156863764,1002.5368582665064,986.2487205554929,81.03209616938409,-0.31541232385642154,0.6728081672487701,0.6119734626551416,-0.1605465765826864,3.700444919868236,0.6217591929711267,0.2920190693609991
184.48,1067.4957773096685,1067.4957773096685,992.400618966264,1061.3837435725065,1002.795658740782,986.350152586397,81.14562472327145,-0.31496151483018114,0.6749577730966848,0.6130847415164431,-0.1595322562736453,3.7122677520317664,0.6249325354307171,0.29267604763835675
184.5,1067.7141298921636,1067.7141298921636,992.6151873734603,1061.4967861853575,1003.0542980680783,986.4517305855303,81.26239930663326,-0.31451005705625545,0.6771412989216355,0.6142151676449521,-0.15851647628231263,3.7242771440689957,0.6281536956656959,0.2933463019700705
184.52,1067.9354497915506,1067.9354497915506,992.8297750156771,1061.6117623211824,1003.3127887123949,986.5534580751757,81.38199171637484,-0.31405793488005335,0.6793544979155058,0.6153649290032013,-0.1574992013858582,3.736449738535282,0.6314130675506617,0.2940281265883278
184.54,1068.1593062337115,1068.1593062337115,993.0443890647314,1061.7286827481919,1003.5711413718424,986.6553380354236,81.50396819828791,-0.31360513505672954,0.681593062337115,0.6165341332732965,-0.15648040178337963,3.7487618428541336,0.6347010233000687,0.2947197924364758
184.56,1068.3852630504903,1068.3852630504903,993.2590354293632,1061.84755025359,1003.8293649641876,986.7573728981141,81.62789015237615,-0.3131516467781052,0.6838526305049027,0.617722808327278,-0.1554600531564745,3.7611894677769646,0.6380079281936273,0.29541954997820974
184.58,1068.6128793788346,1068.6128793788346,993.4737187454585,1061.9683597022552,1004.087466615242,986.8595645416606,81.753314837174,-0.3126974616956764,0.6861287937883458,0.6189309028139292,-0.15443813672100987,3.7737083658359016,0.6413241551358906,0.29612563200449404
184.6,1068.841710356709,1068.841710356709,993.6884423682826,1062.0910981067989,1004.3454516500685,986.961914286748,81.879796069961,-0.31224257393973226,0.6884171035670897,0.6201582868593664,-0.1534146392701359,3.7862940696189935,0.6446400989855151,0.2968362564258168
184.62,1069.0713078123172,1069.0713078123172,993.9032083666987,1062.2157447086831,1004.60332358697,987.0644228928973,82.00688491941992,-0.3117869801346243,0.6907130781231717,0.6214047528782088,-0.15238955320864306,3.798921929677445,0.6479461905825161,0.29754962903595106
184.64000000000001,1069.3012209427854,1069.3012209427854,994.1180175193371,1062.3422710700063,1004.8610841342042,987.1670905558809,82.13413038690453,-0.31133067941025266,0.6930122094278545,0.6226700164914405,-0.15136287657880643,3.8115671518532,0.6512329103942939,0.29826394623185687
184.66,1069.530996978019,1069.530996978019,994.3328693126666,1062.4706411755064,1005.1187331893589,987.269916905971,82.261080072048,-0.3108736734098524,0.6953099697801896,0.623953717546442,-0.15033461307790616,3.8242048337910424,0.6544908016924287,0.29897739767261083
184.68,1069.760181824918,1069.760181824918,994.5477619409066,1062.600811544246,1005.3762688412934,987.3729010069934,82.38728081792453,-0.31041596629419727,0.6976018182491794,0.6252554212338373,-0.14930477206768158,3.8368100003704866,0.657710483161853,0.2996881688581618
184.70000000000002,1069.988320686558,1069.988320686558,994.7626923077033,1062.7327313503588,1005.6336873745414,987.4760413561564,82.5122793304015,-0.30995756474236164,0.6998832068655793,0.6265746192949655,-0.14827336857605133,3.8493576377606864,0.6608826608323535,0.3003944436063957
184.72,1070.214958650285,1070.214958650285,994.9776560294771,1062.8663425521431,1005.8909832760384,987.5793358846136,82.63562276567154,-0.30949847794921903,0.702149586502851,0.6279107313128088,-0.14724042329148007,3.8618227257656805,0.6639981392093705,0.30109440640439017
184.74,1070.4396412379303,1070.4396412379303,995.1926474403274,1063.001580028675,1006.148149244014,987.6827819587126,82.75685927921779,-0.30903871761989005,0.7043964123793035,0.6292631060781286,-0.1462059625504901,3.87418026808617,0.6670478314661181,0.3017862446067731
184.76,1070.6619149104865,1070.6619149104865,995.407659598362,1063.1383717229933,1006.4051761988605,987.7863763818733,82.87553852861322,-0.3085782979613978,0.7066191491048652,0.6306310230213102,-0.14517001831888252,3.886405320076759,0.6700227685418999,0.3024681504506764
184.78,1070.8813275186797,1070.8813275186797,995.6226842932916,1063.2766387907734,1006.6620532957522,987.8901153970254,82.99121212165426,-0.308117235671833,0.7088132751867965,0.6320136936991116,-0.14413262816736164,3.8984730135273815,0.6729141069732268,0.30313832285314474
184.8,1071.0974286897842,1071.0974286897842,995.837712055105,1063.4162957532558,1006.9187679387563,987.9939946895257,83.10343400025852,-0.30765554992738714,0.7109742868978424,0.6334102633239354,-0.1430938352423584,3.9103585779381334,0.6757131352627744,0.3037949689525624
184.82,1071.3097701398822,1071.3097701398822,996.0527321636087,1063.557250653017,1007.1753057961313,988.0980093904625,83.21176074941968,-0.30719326236766814,0.7130977013988218,0.6348198123215479,-0.1420536882329907,3.9220373576935206,0.6784112785682714,0.3044363053510806
184.84,1071.5179058994602,1071.5179058994602,996.2677326585826,1063.6994052109892,1007.4316508164633,988.2021540802365,83.31575181922369,-0.30673039707978356,0.7151790589946018,0.6362413579012696,-0.1410122413352508,3.93348482447031,0.6810001014673772,0.30506055900984463
184.86,1071.7213924388204,1071.7213924388204,996.4827003502643,1063.8426549829148,1007.6877852452376,988.3064227922946,83.41496964652583,-0.3062669805817473,0.7172139243882043,0.6376738556205259,-0.13996955421466964,3.9446765841351232,0.6834713085263437,0.30566596774316945
