panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,2.5664429530201347,69,138,18.597412703044455
5b,2.5664429530201347,138,276,9.298706351522227
5b,2.5664429530201347,230,460,5.579223810913337
5b,2.5664429530201347,320,640,4.01006711409396
5b,2.599328859060403,69,138,18.835716370002924
5b,2.599328859060403,138,276,9.417858185001462
5b,2.599328859060403,230,460,5.650714911000877
5b,2.599328859060403,320,640,4.06145134228188
5b,2.6322147651006715,69,138,19.07402003696139
5b,2.6322147651006715,138,276,9.537010018480695
5b,2.6322147651006715,230,460,5.722206011088416
5b,2.6322147651006715,320,640,4.1128355704698
5b,2.66510067114094,69,138,19.31232370391986
5b,2.66510067114094,138,276,9.65616185195993
5b,2.66510067114094,230,460,5.793697111175956
5b,2.66510067114094,320,640,4.16421979865772
5b,2.6979865771812084,69,138,19.550627370878324
5b,2.6979865771812084,138,276,9.775313685439162
5b,2.6979865771812084,230,460,5.865188211263496
5b,2.6979865771812084,320,640,4.2156040268456385
5b,2.7308724832214772,69,138,19.788931037836793
5b,2.7308724832214772,138,276,9.894465518918397
5b,2.7308724832214772,230,460,5.936679311351036
5b,2.7308724832214772,320,640,4.266988255033558
5b,2.7637583892617457,69,138,20.02723470479526
5b,2.7637583892617457,138,276,10.01361735239763
5b,2.7637583892617457,230,460,6.008170411438577
5b,2.7637583892617457,320,640,4.318372483221477
5b,2.796644295302014,69,138,20.265538371753724
5b,2.796644295302014,138,276,10.132769185876862
5b,2.796644295302014,230,460,6.079661511526117
5b,2.796644295302014,320,640,4.369756711409396
5b,2.8295302013422825,69,138,20.503842038712193
5b,2.8295302013422825,138,276,10.251921019356097
5b,2.8295302013422825,230,460,6.151152611613657
5b,2.8295302013422825,320,640,4.421140939597316
5b,2.862416107382551,69,138,20.742145705670655
5b,2.862416107382551,138,276,10.371072852835328
5b,2.862416107382551,230,460,6.222643711701197
5b,2.862416107382551,320,640,4.472525167785236
5b,2.8953020134228193,69,138,20.980449372629124
5b,2.8953020134228193,138,276,10.490224686314562
5b,2.8953020134228193,230,460,6.294134811788737
5b,2.8953020134228193,320,640,4.5239093959731544
5b,2.9281879194630878,69,138,21.21875303958759
5b,2.9281879194630878,138,276,10.609376519793795
5b,2.9281879194630878,230,460,6.365625911876277
5b,2.9281879194630878,320,640,4.575293624161074
5b,2.961073825503356,69,138,21.457056706546055
5b,2.961073825503356,138,276,10.728528353273028
5b,2.961073825503356,230,460,6.437117011963817
