architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.9746835443037973,0.98,1.0,2.0,931.0400136924442,1343.560627016211,1862.0800273848884,1343.560627016211,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.025316455696203,0.98,1.0,,942.9003960324753,,,942.9003960324753,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.025316455696203,0.98,1.0,2.0,942.9003960324753,1110.987341772152,1885.8007920649507,1110.987341772152,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.025316455696203,0.98,1.0,2.0,942.9003960324753,1360.6760490164177,1885.8007920649507,1360.6760490164177,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.075949367088608,0.98,1.0,,954.7607783725065,,,954.7607783725065,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.075949367088608,0.98,1.0,2.0,954.7607783725065,1124.9620253164558,1909.521556745013,1124.9620253164558,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.075949367088608,0.98,1.0,2.0,954.7607783725065,1377.7914710166242,1909.521556745013,1377.7914710166242,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.1265822784810124,0.98,1.0,,966.6211607125375,,,966.6211607125375,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.1265822784810124,0.98,1.0,2.0,966.6211607125375,1138.9367088607594,1933.242321425075,1138.9367088607594,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.1265822784810124,0.98,1.0,2.0,966.6211607125375,1394.9068930168305,1933.242321425075,1394.9068930168305,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.177215189873418,0.98,1.0,,978.4815430525688,,,978.4815430525688,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.177215189873418,0.98,1.0,2.0,978.4815430525688,1152.9113924050632,1956.9630861051376,1152.9113924050632,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.177215189873418,0.98,1.0,2.0,978.4815430525688,1412.022315017037,1956.9630861051376,1412.022315017037,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.227848101265822,0.98,1.0,,990.3419253925998,,,990.3419253925998,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.227848101265822,0.98,1.0,2.0,990.3419253925998,1166.8860759493668,1980.6838507851996,1166.8860759493668,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.227848101265822,0.98,1.0,2.0,990.3419253925998,1429.1377370172434,1980.6838507851996,1429.1377370172434,1.4430750636460152,44.30750636460152,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.2784810126582276,0.98,1.0,,1002.202307732631,,,1002.202307732631,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.2784810126582276,0.98,1.0,2.0,1002.202307732631,1180.860759493671,2004.404615465262,1180.860759493671,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.2784810126582276,0.98,1.0,2.0,1002.202307732631,1446.25315901745,2004.404615465262,1446.25315901745,1.4430750636460152,44.30750636460152,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.329113924050633,0.98,1.0,,1014.0626900726621,,,1014.0626900726621,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.329113924050633,0.98,1.0,2.0,1014.0626900726621,1194.8354430379748,2028.1253801453242,1194.8354430379748,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.329113924050633,0.98,1.0,2.0,1014.0626900726621,1463.3685810176567,2028.1253801453242,1463.3685810176567,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.379746835443038,0.98,1.0,,1025.9230724126935,,,1025.9230724126935,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.379746835443038,0.98,1.0,2.0,1025.9230724126935,1208.8101265822786,2051.846144825387,1208.8101265822786,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.379746835443038,0.98,1.0,2.0,1025.9230724126935,1480.4840030178632,2051.846144825387,1480.4840030178632,1.4430750636460152,44.30750636460152,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.4303797468354436,0.98,1.0,,1037.7834547527245,,,1037.7834547527245,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.4303797468354436,0.98,1.0,2.0,1037.7834547527245,1222.7848101265824,2075.566909505449,1222.7848101265824,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.4303797468354436,0.98,1.0,2.0,1037.7834547527245,1497.5994250180697,2075.566909505449,1497.5994250180697,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.481012658227848,0.98,1.0,,1049.6438370927553,,,1049.6438370927553,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.481012658227848,0.98,1.0,2.0,1049.6438370927553,1236.759493670886,2099.2876741855107,1236.759493670886,1.1782658554890326,17.82658554890326,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.481012658227848,0.98,1.0,2.0,1049.6438370927553,1514.714847018276,2099.2876741855107,1514.714847018276,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.531645569620253,0.98,1.0,,1061.5042194327866,,,1061.5042194327866,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.531645569620253,0.98,1.0,2.0,1061.5042194327866,1250.73417721519,2123.008438865573,1250.73417721519,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.531645569620253,0.98,1.0,2.0,1061.5042194327866,1531.8302690184828,2123.008438865573,1531.8302690184828,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.582278481012658,0.98,1.0,,1073.3646017728177,,,1073.3646017728177,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.582278481012658,0.98,1.0,2.0,1073.3646017728177,1264.7088607594935,2146.7292035456353,1264.7088607594935,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,4.582278481012658,0.98,1.0,2.0,1073.3646017728177,1548.945691018689,2146.7292035456353,1548.945691018689,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,4.632911392405063,0.98,1.0,,1085.224984112849,,,1085.224984112849,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,4.632911392405063,0.98,1.0,2.0,1085.224984112849,1278.6835443037974,2170.449968225698,1278.6835443037974,1.1782658554890322,17.826585548903218,thermal_current_limit,
