campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,Local SST,Subtransmission DC backbone,Traditional AC,dc_vs_traditional_reduction_pct,dc_vs_local_reduction_pct,local_vs_traditional_reduction_pct,dc_p95_minus_traditional_p95_pctpt,dc_p95_minus_local_p95_pctpt
1,0.25,230,10,coherent,100,2.936770898328663,0.8064101997047844,8.02204187050598,89.94756930065834,72.54092240686128,63.391229493253306,-7.215631670801195,-2.130360698623879
1,0.25,230,10,partial,5,2.1954418676410663,0.7635058249911757,5.669375603013779,86.5328057540357,65.22313634241024,61.27542041007139,-4.905869778022604,-1.4319360426498906
1,0.25,230,10,partial,20,2.402084037431245,0.7671400786731478,6.147698543913815,87.52150787496548,68.06356202701731,60.927101088759564,-5.380558465240668,-1.6349439587580972
1,0.25,230,10,partial,50,2.707606876483067,0.8003942690123588,7.151143406840774,88.80746443643261,70.43905169675158,62.13742722747002,-6.350749137828415,-1.9072126074707083
1,0.25,230,10,partial,100,2.9408487002043553,0.8206752913710695,8.116910382235394,89.88931437302557,72.09393018709048,63.76886571717395,-7.296235090864325,-2.1201734088332858
1,0.25,230,10,random,5,2.1337760023434056,0.7880659368416315,5.432201973968578,85.49269816148059,63.067072833505335,60.7198699060053,-4.6441360371269464,-1.3457100655017742
1,0.25,230,10,random,20,2.3647887522025823,0.7810200229132143,6.284736604673112,87.57274851689927,66.9729474911547,62.3725081741022,-5.503716581759898,-1.583768729289368
1,0.25,230,10,random,50,2.6582299081907106,0.7954221625307344,7.298276802273931,89.10123328998834,70.07699898041821,63.5772939255677,-6.502854639743197,-1.862807745659976
1,0.25,230,10,random,100,2.93930487949948,0.8282650352278298,7.9711655362078115,89.60923554446886,71.8210573865726,63.12578297178584,-7.142900500979982,-2.11103984427165
1,0.25,230,20,coherent,5,1.0521932925933961,0.3691446086890482,2.8066576268992476,86.84753690114766,64.91665445051468,62.51080707140459,-2.4375130182101996,-0.6830486839043479
1,0.25,230,20,coherent,20,1.1712148509079412,0.38160080170575766,3.1432106283705945,87.85952178128211,67.41837747276381,62.73826385236276,-2.761609826664837,-0.7896140492021835
1,0.25,230,20,coherent,50,1.356307633660016,0.39667048041281605,3.531310717700759,88.76704679583992,70.75364979386019,61.59194865347024,-3.134640237287943,-0.9596371532471999
1,0.25,230,20,coherent,100,1.4969667465595706,0.40792867235129165,4.085909137541911,90.01620793269274,72.7496503653925,63.36270102520811,-3.6779804651906196,-1.089038074208279
1,0.25,230,20,partial,5,1.0383531477480004,0.3715621410397251,2.8314304119024034,86.87722857401687,64.21620699609029,63.327611959555675,-2.4598682708626782,-0.6667910067082752
1,0.25,230,20,partial,20,1.2000169138252785,0.38577735106828553,3.146810078854083,87.74068528442088,67.85234052755573,61.86560727356425,-2.7610327277857976,-0.8142395627569929
1,0.25,230,20,partial,50,1.3770480782558456,0.38719732541761875,3.6103745876370987,89.27542513889037,71.88207648435639,61.85858157291402,-3.22317726221948,-0.9898507528382269
1,0.25,230,20,partial,100,1.5284660885740033,0.41381430924910645,4.142512256847074,90.01054713682208,72.92617007714064,63.10291934447187,-3.7286979475979676,-1.114651779324897
1,0.25,230,20,random,5,1.0062658237170552,0.36395913591159995,2.8868262181193307,87.39241269089253,63.83071676158416,65.14283342027414,-2.5228670822077306,-0.6423066878054553
1,0.25,230,20,random,20,1.200886289867019,0.37948017369610637,3.2134997720294507,88.19106268501616,68.39999116501461,62.629955653968736,-2.8340195983333443,-0.8214061161709125
1,0.25,230,20,random,50,1.3807984135110813,0.4088782693460004,3.7031141295912398,88.95852909099689,70.38827207902791,62.71250722527697,-3.2942358602452395,-0.9719201441650809
1,0.25,230,20,random,100,1.5661822804352266,0.4083316862043274,4.089466656727959,90.01503813382257,73.92821440357147,61.702040586183635,-3.6811349705236314,-1.1578505942308992
1,0.25,320,3,coherent,5,7.187054326338155,2.4066527530921706,19.0007180111358,87.33388521590764,66.51405925411484,62.17482769795319,-16.594065258043628,-4.780401573245985
1,0.25,320,3,coherent,20,8.052773203105492,2.5000379339850434,20.223751052911535,87.63810962939478,68.95432330043863,60.181604381714514,-17.72371311892649,-5.552735269120449
1,0.25,320,3,coherent,50,8.924498090334739,2.5839073401003234,24.54088051044246,89.471008022712,71.04702904358618,63.634156946661925,-21.956973170342135,-6.340590750234416
1,0.25,320,3,coherent,100,10.133755091469254,2.679871087028736,27.73785408417948,90.33857817949507,73.55500441011554,63.46597303196167,-25.057982997150745,-7.453884004440518
1,0.25,320,3,partial,5,7.593124586026093,2.601815876768712,18.42198157330547,85.87656888909879,65.73458202494228,58.78225935786965,-15.820165696536758,-4.991308709257381
1,0.25,320,3,partial,20,8.000486579796766,2.6327761423464553,20.959189979193386,87.43855967258244,67.09229974843186,61.828264414135226,-18.326413836846932,-5.36771043745031
1,0.25,320,3,partial,50,9.259593483036012,2.6157537975212826,24.07854562713483,89.13657893617332,71.75087867179634,61.54421605679913,-21.462791829613547,-6.643839685514729
1,0.25,320,3,partial,100,10.148052482877503,2.730976363357707,26.60565247851457,89.73535279556437,73.088665357559,61.85753199974112,-23.874676115156863,-7.4170761195197965
1,0.25,320,3,random,5,7.130896703276777,2.5646265453429273,18.5533085009539,86.1769853866707,64.03500636652842,61.565363380282555,-15.988681955610973,-4.56627015793385
1,0.25,320,3,random,20,7.790339407353752,2.661632812146165,22.092703445856692,87.95243498076587,65.83418676683463,64.73795329554942,-19.431070633710526,-5.128706595207587
1,0.25,320,3,random,50,8.577715847781931,2.721275658499153,24.632910929510054,88.95268339870022,68.2750547256373,65.17782298515971,-21.9116352710109,-5.856440189282779
1,0.25,320,3,random,100,9.73484542212095,2.7303835829399876,26.40936484265619,89.6613053770612,71.95247110205152,63.138661303973095,-23.678981259716203,-7.004461839180962
1,0.25,320,5,coherent,5,4.310466054355189,1.4874058379034998,11.10971692501767,86.6116675344441,65.49315505220923,61.2009371305531,-9.62231108711417,-2.823060216451689
1,0.25,320,5,coherent,20,4.766794867221887,1.536270986582556,12.510773078049032,87.72041522135795,67.77140553820595,61.89847871523192,-10.974502091466476,-3.230523880639331
1,0.25,320,5,coherent,50,5.2527463676689425,1.6376112694937333,14.43080476153968,88.65197543342683,68.8237132564908,63.600461273869335,-12.793193492045946,-3.6151350981752093
