scenario,run,h,vh_pct
Traditional AC,52,7,0.4273763491326249
Traditional AC,52,11,2.06562650426417
Traditional AC,52,13,1.223387817865402
Traditional AC,52,17,0.134328540158202
Traditional AC,52,19,0.23029473195404945
Traditional AC,52,23,1.0618651378796333
Traditional AC,52,25,0.22212451078587778
Traditional AC,52,29,0.16798809765945164
Traditional AC,52,31,0.12360556007914013
Traditional AC,53,5,0.18064104210076423
Traditional AC,53,7,0.35150477865154145
Traditional AC,53,11,1.177903347861418
Traditional AC,53,13,1.0398987379896583
Traditional AC,53,17,0.34334943601865986
Traditional AC,53,19,0.2893633242200361
Traditional AC,53,23,0.759451498631445
Traditional AC,53,25,0.3198660030951788
Traditional AC,53,29,0.05751507796438249
Traditional AC,53,31,0.03626051341726915
Traditional AC,54,5,0.2187143807931056
Traditional AC,54,7,0.5139241608034179
Traditional AC,54,11,2.1489857217686605
Traditional AC,54,13,0.4281996280854397
Traditional AC,54,17,0.046326102093157136
Traditional AC,54,19,0.39439337697538357
Traditional AC,54,23,0.37527268134688835
Traditional AC,54,25,0.35881020954634174
Traditional AC,54,29,0.14580402475273138
Traditional AC,54,31,0.11504941092861651
