dataset_id,dataset_role,pocket_id,scenario_id,architecture,thdv_p50_pct,thdv_p95_pct,thdv_max_pct,source_count
A,Full Texas Combined T&D,A-mpc-0072,C3,Converted DC backbone,0.20077273955751906,0.26971866279610446,0.32038650852642986,1
A,Full Texas Combined T&D,A-mpc-0076,C0,C0/C1 Traditional 400 V AC,3.422720827172628,5.814866567056141,7.6120556920578535,3
A,Full Texas Combined T&D,A-mpc-0076,C2,MV SST,1.1063222507696824,1.7725306796485971,2.3127632516891494,3
A,Full Texas Combined T&D,A-mpc-0076,C3,Converted DC backbone,0.2035320817477136,0.279739511865703,0.3125103657790948,1
A,Full Texas Combined T&D,A-mpc-0086,C0,C0/C1 Traditional 400 V AC,3.3099290038926306,5.611564366044058,7.264461027690372,3
A,Full Texas Combined T&D,A-mpc-0086,C2,MV SST,1.0981166509942137,1.7870453920454783,2.6766404276911944,3
A,Full Texas Combined T&D,A-mpc-0086,C3,Converted DC backbone,0.20044454401195683,0.2696420542392041,0.32392840898543845,1
A,Full Texas Combined T&D,A-mpc-0087,C0,C0/C1 Traditional 400 V AC,3.4693161816815756,5.683708210787025,7.828203613819052,3
A,Full Texas Combined T&D,A-mpc-0087,C2,MV SST,1.104157230008791,1.7812671256044605,2.509206832246559,3
A,Full Texas Combined T&D,A-mpc-0087,C3,Converted DC backbone,0.1980732088696345,0.2692559797543512,0.32272973586124726,1
A,Full Texas Combined T&D,A-mpc-0088,C0,C0/C1 Traditional 400 V AC,3.501552144257105,5.692637287053891,7.963447343220452,3
A,Full Texas Combined T&D,A-mpc-0088,C2,MV SST,1.1485769013196077,1.8375184288424318,2.5140148414322825,3
A,Full Texas Combined T&D,A-mpc-0088,C3,Converted DC backbone,0.20467788504517614,0.2727487985676214,0.32038201698819674,1
A,Full Texas Combined T&D,A-mpc-0089,C0,C0/C1 Traditional 400 V AC,3.4761354564695974,5.815033001605735,7.533378431914971,3
A,Full Texas Combined T&D,A-mpc-0089,C2,MV SST,1.1724227371113987,1.8018862677748946,2.4616849180733262,3
A,Full Texas Combined T&D,A-mpc-0089,C3,Converted DC backbone,0.20199747868802884,0.2611067024221525,0.30739974906007417,1
A,Full Texas Combined T&D,A-mpc-0090,C0,C0/C1 Traditional 400 V AC,3.4933730901600493,5.8918010743933715,8.234124362140205,3
A,Full Texas Combined T&D,A-mpc-0090,C2,MV SST,1.0936702409383952,1.8080271284303842,2.5521680685389385,3
A,Full Texas Combined T&D,A-mpc-0090,C3,Converted DC backbone,0.20196780456698193,0.26882471831151494,0.3120306889880515,1
A,Full Texas Combined T&D,A-mpc-0094,C0,C0/C1 Traditional 400 V AC,3.4877924860895666,5.768361001782924,7.295446279639375,3
A,Full Texas Combined T&D,A-mpc-0094,C2,MV SST,1.11070747539318,1.7966483190233198,2.317098576047989,3
A,Full Texas Combined T&D,A-mpc-0094,C3,Converted DC backbone,0.19976248766077337,0.2720519500928521,0.3306741796731997,1
A,Full Texas Combined T&D,A-mpc-0095,C0,C0/C1 Traditional 400 V AC,3.5182842133789647,5.69751575218932,7.585580887758563,3
A,Full Texas Combined T&D,A-mpc-0095,C2,MV SST,1.0914423506042568,1.8637903442492079,2.7535424304519287,3
A,Full Texas Combined T&D,A-mpc-0095,C3,Converted DC backbone,0.2003681259064531,0.27415599771491306,0.3225188194874141,1
A,Full Texas Combined T&D,A-mpc-0099,C0,C0/C1 Traditional 400 V AC,3.5023127166943095,5.772617541607305,8.233706439847609,3
A,Full Texas Combined T&D,A-mpc-0099,C2,MV SST,1.1193284756483441,1.892057217096165,2.5049466057507876,3
A,Full Texas Combined T&D,A-mpc-0099,C3,Converted DC backbone,0.20263859176498172,0.27555163080737494,0.33134336672714354,1
A,Full Texas Combined T&D,A-mpc-0100,C0,C0/C1 Traditional 400 V AC,3.4866625999261096,5.7064361616719355,8.01274241364149,3
A,Full Texas Combined T&D,A-mpc-0100,C2,MV SST,1.083347332271427,1.8495940472280252,2.4946269345011545,3
A,Full Texas Combined T&D,A-mpc-0100,C3,Converted DC backbone,0.20364874150398743,0.27111122843860674,0.3170570178472698,1
A,Full Texas Combined T&D,A-mpc-0101,C0,C0/C1 Traditional 400 V AC,3.443381936154198,5.4708331826805985,7.3714271656981,3
A,Full Texas Combined T&D,A-mpc-0101,C2,MV SST,1.1156629262122182,1.8788637921831002,2.7164883627557166,3
A,Full Texas Combined T&D,A-mpc-0101,C3,Converted DC backbone,0.20156683792578647,0.2756420375824888,0.3149266530353036,1
A,Full Texas Combined T&D,A-mpc-0102,C0,C0/C1 Traditional 400 V AC,3.4158095388471135,5.705590298562782,7.845859646216748,3
A,Full Texas Combined T&D,A-mpc-0102,C2,MV SST,1.1290373414373005,1.8205677438186634,2.580491603418986,3
A,Full Texas Combined T&D,A-mpc-0102,C3,Converted DC backbone,0.20088255308753983,0.2743876171478129,0.3157096902366418,1
B,Austin-Travis 150-bus T&D,ATX-138-01,C0,C0/C1 Traditional 400 V AC,2.549400607593644,4.069097965001156,5.220047322113627,3
B,Austin-Travis 150-bus T&D,ATX-138-01,C2,MV SST,0.7834196309402428,1.299126181217316,1.69295532807494,3
B,Austin-Travis 150-bus T&D,ATX-138-01,C3,Converted DC backbone,0.1438273702080531,0.18976428690021574,0.22615582893253053,1
B,Austin-Travis 150-bus T&D,ATX-138-02,C0,C0/C1 Traditional 400 V AC,2.6556546765717006,4.286899442062514,5.607893741909599,3
B,Austin-Travis 150-bus T&D,ATX-138-02,C2,MV SST,0.8513561242046294,1.3372181897259132,1.962425327675644,3
B,Austin-Travis 150-bus T&D,ATX-138-02,C3,Converted DC backbone,0.15124606732866985,0.2028248967355674,0.2411894612881054,1
B,Austin-Travis 150-bus T&D,ATX-138-03,C0,C0/C1 Traditional 400 V AC,2.765975352924892,4.496926362985515,6.675903716397141,3
B,Austin-Travis 150-bus T&D,ATX-138-03,C2,MV SST,0.8403717211876104,1.4073792074826101,1.9784252289585493,3
B,Austin-Travis 150-bus T&D,ATX-138-03,C3,Converted DC backbone,0.15745508889604212,0.21698718768565683,0.24290199903458554,1
B,Austin-Travis 150-bus T&D,ATX-230-138-04,C0,C0/C1 Traditional 400 V AC,2.310532083669047,3.736284655797871,5.385236959887021,3
B,Austin-Travis 150-bus T&D,ATX-230-138-04,C2,MV SST,0.7617289419430111,1.2800617368739569,1.6240799182716152,3
B,Austin-Travis 150-bus T&D,ATX-230-138-04,C3,Converted DC backbone,0.13815522451728285,0.187785942290757,0.21734415781321098,1
