time_s,poi_voltage_pu,poi_angle_rad,poi_bus,event
1.8,1.03711301,0.06831613,150,2
1.82,1.03627937,0.063337,150,2
1.84,1.03552623,0.05802596,150,2
1.86,1.03484939,0.0524008,150,2
1.88,1.0342436,0.04647931,150,2
1.9,1.03370268,0.04027948,150,2
1.92,1.03321967,0.03381956,150,2
1.94,1.03278709,0.02711807,150,2
1.96,1.03239711,0.02019367,150,2
1.98,1.03204183,0.013065,150,2
2.0,1.03171349,0.00575048,150,2
2.02,1.03140469,-0.00173197,150,2
2.04,1.03110861,-0.00936518,150,2
2.06,1.03081918,-0.017133,150,2
2.08,1.03053116,-0.0250205,150,2
2.1,1.03024029,-0.03301418,150,2
2.12,1.02994326,-0.04110204,150,2
2.14,1.02963775,-0.04927369,150,2
2.16,1.02932237,-0.05752024,150,2
2.18,1.02899653,-0.06583426,150,2
2.2,1.02866037,-0.07420959,150,2
2.22,1.02831461,-0.08264109,150,2
2.24,1.02796037,-0.0911244,150,2
2.26,1.02759907,-0.09965566,150,2
2.28,1.02723227,-0.10823118,150,2
2.3,1.02686158,-0.11684721,150,2
2.32,1.02648853,-0.12549964,150,2
2.34,1.02611457,-0.13418384,150,2
2.36,1.02574097,-0.14289452,150,2
2.38,1.02536889,-0.15162559,150,2
2.4,1.02499933,-0.16037017,150,2
2.42,1.02463319,-0.16912064,150,2
2.44,1.02427135,-0.17786865,150,2
2.46,1.02391464,-0.18660531,150,2
2.48,1.02356396,-0.19532132,150,2
2.5,1.02322027,-0.20400713,150,2
2.52,1.02288465,-0.21265313,150,2
2.54,1.02255828,-0.22124982,150,2
2.56,1.02224245,-0.22978798,150,2
2.58,1.02193854,-0.23825881,150,2
2.6,1.02164798,-0.24665401,150,2
2.62,1.02137218,-0.25496592,150,2
2.64,1.02111254,-0.26318752,150,2
2.66,1.0208703,-0.27131248,150,2
2.68,1.02064655,-0.27933515,150,2
2.7,1.02044214,-0.28725053,150,2
2.72,1.02025765,-0.29505423,150,2
2.74,1.02009333,-0.30274242,150,2
2.76,1.01994909,-0.31031176,150,2
2.78,1.01982449,-0.31775936,150,2
2.8,1.01971874,-0.32508272,150,2
2.82,1.01963073,-0.3322797,150,2
2.84,1.01955904,-0.33934846,150,2
2.86,1.019502,-0.34628746,150,2
2.88,1.01945776,-0.35309548,150,2
2.9,1.01942428,-0.35977156,150,2
2.92,1.01939947,-0.36631506,150,2
2.94,1.01938122,-0.37272568,150,2
2.96,1.01936742,-0.37900345,150,2
2.98,1.01935607,-0.38514878,150,2
0.0,1.01660454,-0.13451618,150,3
0.02,1.01656852,-0.13620191,150,3
0.04,1.01670801,-0.13734454,150,3
0.06,1.01681083,-0.13807864,150,3
0.08,1.01684617,-0.13858181,150,3
0.1,1.01682941,-0.1389798,150,3
0.12,1.01678109,-0.13934732,150,3
0.14,1.01671722,-0.13972527,150,3
0.16,1.01664852,-0.14013491,150,3
0.18,1.01658159,-0.14058677,150,3
0.2,1.01652022,-0.14108575,150,3
0.22,1.01646632,-0.14163383,150,3
0.24,1.01642061,-0.14223148,150,3
0.26,1.01638305,-0.14287841,150,3
0.28,1.01635317,-0.14357394,150,3
0.3,1.01633025,-0.14431718,150,3
0.32,1.01631347,-0.14510715,150,3
0.34,1.01630196,-0.14594283,150,3
0.36,1.01629492,-0.14682315,150,3
0.38,1.01629159,-0.14774707,150,3
0.4,1.01629128,-0.14871354,150,3
0.42,1.01629342,-0.14972153,150,3
0.44,1.0162975,-0.15077001,150,3
0.46,1.01630309,-0.15185799,150,3
0.48,1.01630985,-0.15298446,150,3
0.5,1.01631747,-0.15414846,150,3
0.52,1.01632573,-0.15534902,150,3
0.54,1.01633442,-0.1565852,150,3
0.56,1.01634339,-0.15785608,150,3
0.58,1.01635251,-0.15916072,150,3
0.6,1.01636168,-0.16049825,150,3
0.62,1.01637081,-0.16186776,150,3
0.64,1.01637983,-0.16326839,150,3
0.66,1.01638868,-0.16469928,150,3
0.68,1.01639732,-0.16615958,150,3
0.7,1.0164057,-0.16764846,150,3
0.72,1.01641378,-0.16916511,150,3
0.74,1.01642154,-0.1707087,150,3
0.76,1.01642896,-0.17227845,150,3
0.78,1.01643601,-0.17387357,150,3
0.8,1.01644267,-0.17549327,150,3
0.82,1.01644893,-0.1771368,150,3
0.84,1.01645478,-0.17880339,150,3
0.86,1.01646021,-0.18049229,150,3
0.88,1.01646523,-0.18220276,150,3
0.9,1.01646984,-0.18393405,150,3
0.92,1.01647403,-0.18568545,150,3
0.94,1.01647782,-0.18745622,150,3
0.96,1.01648122,-0.18924564,150,3
0.98,1.01648425,-0.19105301,150,3
1.0,0.10224176,0.02029028,150,3
1.02,0.09603573,0.17736983,150,3
1.04,0.09359132,0.21213263,150,3
1.06,0.87132271,0.11798284,150,3
1.08,0.92334997,-0.01869718,150,3
1.1,0.96068598,-0.07402588,150,3
1.12,0.98536774,-0.09283486,150,3
1.14,1.00237418,-0.09446084,150,3
1.16,1.01517826,-0.08779238,150,3
1.18,1.02557131,-0.07723903,150,3
1.2,1.03436511,-0.06508387,150,3
1.22,1.04198488,-0.05246058,150,3
1.24,1.04849916,-0.0399807,150,3
1.26,1.05364147,-0.02799839,150,3
1.28,1.05746813,-0.01660484,150,3
1.3,1.06013321,-0.00585569,150,3
1.32,1.06180374,0.00420075,150,3
1.34,1.06264507,0.01352324,150,3
1.36,1.06281198,0.02207847,150,3
1.38,1.06244373,0.02984194,150,3
1.4,1.06166171,0.03679838,150,3
1.42,1.0605691,0.04294176,150,3
1.44,1.05925161,0.04827483,150,3
1.46,1.05777897,0.05280844,150,3
1.48,1.05620686,0.05656056,150,3
1.5,1.05457896,0.05955518,150,3
1.52,1.05292898,0.06182108,150,3
1.54,1.05128261,0.06339057,150,3
1.56,1.04965921,0.06429832,150,3
1.58,1.04807331,0.06458015,150,3
1.6,1.04653584,0.064272,150,3
1.62,1.04505509,0.06340911,150,3
1.64,1.04363746,0.06202523,150,3
1.66,1.04228797,0.0601522,150,3
1.68,1.0410106,0.05781954,150,3
1.7,1.03980847,0.05505441,150,3
1.72,1.03868392,0.0518816,150,3
1.74,1.03763847,0.04832369,150,3
1.76,1.03667283,0.04440135,150,3
1.78,1.03578673,0.04013371,150,3
1.8,1.03497896,0.03553864,150,3
1.82,1.03424726,0.03063324,150,3
1.84,1.03358835,0.02543409,150,3
1.86,1.03299797,0.01995756,150,3
1.88,1.03247093,0.01422002,150,3
1.9,1.03200132,0.00823796,150,3
1.92,1.03158258,0.00202807,150,3
1.94,1.03120772,-0.00439287,150,3
1.96,1.03086957,-0.011008,150,3
1.98,1.03056091,-0.01780062,150,3
2.0,1.03027475,-0.02475432,150,3
