time_s,poi_voltage_pu,griddyn_field
10.360000,1.00000000,travis_proxy_event_voltage
10.380000,1.00000000,travis_proxy_event_voltage
10.400000,1.00000000,travis_proxy_event_voltage
10.420000,1.00000000,travis_proxy_event_voltage
10.440000,1.00000000,travis_proxy_event_voltage
10.460000,1.00000000,travis_proxy_event_voltage
10.480000,1.00000000,travis_proxy_event_voltage
10.500000,1.00000000,travis_proxy_event_voltage
10.520000,1.00000000,travis_proxy_event_voltage
10.540000,1.00000000,travis_proxy_event_voltage
10.560000,1.00000000,travis_proxy_event_voltage
10.580000,1.00000000,travis_proxy_event_voltage
10.600000,1.00000000,travis_proxy_event_voltage
10.620000,1.00000000,travis_proxy_event_voltage
10.640000,1.00000000,travis_proxy_event_voltage
10.660000,1.00000000,travis_proxy_event_voltage
10.680000,1.00000000,travis_proxy_event_voltage
10.700000,1.00000000,travis_proxy_event_voltage
10.720000,1.00000000,travis_proxy_event_voltage
10.740000,1.00000000,travis_proxy_event_voltage
10.760000,1.00000000,travis_proxy_event_voltage
10.780000,1.00000000,travis_proxy_event_voltage
10.800000,1.00000000,travis_proxy_event_voltage
10.820000,1.00000000,travis_proxy_event_voltage
10.840000,1.00000000,travis_proxy_event_voltage
10.860000,1.00000000,travis_proxy_event_voltage
10.880000,1.00000000,travis_proxy_event_voltage
10.900000,1.00000000,travis_proxy_event_voltage
10.920000,1.00000000,travis_proxy_event_voltage
10.940000,1.00000000,travis_proxy_event_voltage
10.960000,1.00000000,travis_proxy_event_voltage
10.980000,1.00000000,travis_proxy_event_voltage
11.000000,1.00000000,travis_proxy_event_voltage
11.020000,1.00000000,travis_proxy_event_voltage
11.040000,1.00000000,travis_proxy_event_voltage
11.060000,1.00000000,travis_proxy_event_voltage
11.080000,1.00000000,travis_proxy_event_voltage
11.100000,1.00000000,travis_proxy_event_voltage
11.120000,1.00000000,travis_proxy_event_voltage
11.140000,1.00000000,travis_proxy_event_voltage
11.160000,1.00000000,travis_proxy_event_voltage
11.180000,1.00000000,travis_proxy_event_voltage
11.200000,1.00000000,travis_proxy_event_voltage
11.220000,1.00000000,travis_proxy_event_voltage
11.240000,1.00000000,travis_proxy_event_voltage
11.260000,1.00000000,travis_proxy_event_voltage
11.280000,1.00000000,travis_proxy_event_voltage
11.300000,1.00000000,travis_proxy_event_voltage
11.320000,1.00000000,travis_proxy_event_voltage
11.340000,1.00000000,travis_proxy_event_voltage
11.360000,1.00000000,travis_proxy_event_voltage
11.380000,1.00000000,travis_proxy_event_voltage
11.400000,1.00000000,travis_proxy_event_voltage
11.420000,1.00000000,travis_proxy_event_voltage
11.440000,1.00000000,travis_proxy_event_voltage
11.460000,1.00000000,travis_proxy_event_voltage
11.480000,1.00000000,travis_proxy_event_voltage
11.500000,1.00000000,travis_proxy_event_voltage
11.520000,1.00000000,travis_proxy_event_voltage
11.540000,1.00000000,travis_proxy_event_voltage
